Time,Correct Angle,Correct Angle Rate,Predicted Angle,Predicted Angle Rate
6.68,77,10,76.985,9.1571
6.7,77.2,10,77.1902,10.258
6.72,77.4,10,77.3993,10.4568
6.74,77.6,10,77.6071,10.3887
6.76,77.8,10,77.7893,9.10963
6.78,78,10,77.983,9.68448
6.8,78.2,10,78.1923,10.4677
6.82,78.4,10,78.4079,10.7793
6.84,78.6,10,78.6181,10.5122
6.86,78.8,10,78.8014,9.16197
6.88,79,10,78.9918,9.5233
6.9,79.2,10,79.208,10.8067
6.92,79.4,10,79.4177,10.4861
6.94,79.6,10,79.6105,9.64214
6.96,79.8,10,79.7829,8.61723
6.98,80,10,79.9954,10.6253
7,80.2,10,79.8449,10.0273
7.02,80.4,10,80.4038,27.9427
7.04,80.6,10,80.5992,9.77363
7.06,80.8,10,80.7986,9.96522
7.08,81,10,80.9904,9.59368
7.1,81.2,10,81.207,10.8298
7.12,81.4,10,81.3819,8.74548
7.14,81.6,10,81.5959,10.6981
7.16,81.8,10,81.79,9.70514
7.18,82,10,81.9915,10.0765
7.2,82.2,10,82.2143,11.1385
7.22,82.4,10,82.3923,8.89966
7.24,82.6,10,82.591,9.93499
7.26,82.8,10,82.8022,10.5628
7.28,83,10,83.0044,10.1096
7.3,83.2,10,83.22,10.7805
7.32,83.4,10,83.3952,8.75825
7.34,83.6,10,83.5789,9.18253
7.36,83.8,10,83.8058,11.3485
7.38,84,10,84.0128,10.3493
7.4,84.2,10,84.1962,9.16787
7.42,84.4,10,84.4063,10.5062
7.44,84.6,10,84.615,10.4327
7.46,84.8,10,84.802,9.35446
7.48,85,10,85.0063,10.214
7.5,85.2,10,85.1996,9.66345
7.52,85.4,10,85.4028,10.1582
7.54,85.6,10,85.609,10.3143
7.56,85.8,10,85.7996,9.5297
7.58,86,10,85.9929,9.6634
7.6,86.2,10,86.1947,10.0886
7.62,86.4,10,86.395,10.015
7.64,86.6,10,86.6084,10.6728
7.66,86.8,10,86.7938,9.26994
7.68,87,10,87.0113,10.8739
7.7,87.2,10,87.2079,9.83142
7.72,87.4,10,87.3921,9.20902
7.74,87.6,10,87.5972,10.2555
7.76,87.8,10,87.8003,10.1525
7.78,88,10,88.0194,10.9571
7.8,88.2,10,88.185,8.28035
7.82,88.4,10,88.3957,10.533
7.84,88.6,10,88.591,9.76564
7.86,88.8,10,88.8055,10.7263
7.88,89,10,89.0017,9.80875
7.9,89.2,10,89.1985,9.83873
7.92,89.4,10,89.3893,9.54336
7.94,89.6,10,89.6029,10.6755
7.96,89.8,10,89.8107,10.3919
7.98,90,10,89.995,9.21637
8,90.2,10,89.8402,10.0071
8.02,90.4,10,90.4113,28.5559
8.04,90.6,10,90.5975,9.30918
8.06,90.8,10,90.8025,10.2487
8.08,91,10,90.9834,9.04515
8.1,91.2,10,91.196,10.6307
8.12,91.4,10,91.4058,10.4927
8.14,91.6,10,91.6093,10.1752
8.16,91.8,10,91.7942,9.24067
8.18,92,10,91.9959,10.0867
8.2,92.2,10,92.1864,9.52313
8.22,92.4,10,92.3992,10.6412
8.24,92.6,10,92.5875,9.41415
8.26,92.8,10,92.8093,11.0925
8.28,93,10,93.0078,9.92347
8.3,93.2,10,93.1969,9.45646
8.32,93.4,10,93.3979,10.0489
8.34,93.6,10,93.6033,10.2701
8.36,93.8,10,93.8143,10.5522
8.38,94,10,94.0086,9.71444
8.4,94.2,10,94.2247,10.8043
8.42,94.4,10,94.3939,8.46093
8.44,94.6,10,94.6048,10.544
8.46,94.8,10,94.7767,8.59453
8.48,95,10,94.9951,10.9205
8.5,95.2,10,95.1978,10.1354
8.52,95.4,10,95.405,10.3577
8.54,95.6,10,95.5978,9.64312
8.56,95.8,10,95.8135,10.7828
8.58,96,10,96.0074,9.69372
8.6,96.2,10,96.1969,9.47679
8.62,96.4,10,96.4046,10.3827
8.64,96.6,10,96.5963,9.58723
8.66,96.8,10,96.8115,10.7595
8.68,97,10,96.9845,8.65281
8.7,97.2,10,97.1888,10.2117
8.72,97.4,10,97.4031,10.7182
8.74,97.6,10,97.592,9.44142
8.76,97.8,10,97.7896,9.88078
8.78,98,10,97.9942,10.2303
8.8,98.2,10,98.2078,10.6794
8.82,98.4,10,98.4078,9.99863
8.84,98.6,10,98.6123,10.2275
8.86,98.8,10,98.7975,9.25833
8.88,99,10,98.9952,9.88592
8.9,99.2,10,99.2007,10.2762
8.92,99.4,10,99.3857,9.24865
8.94,99.6,10,99.5792,9.67628
8.96,99.8,10,99.7921,10.6445
8.98,100,10,100.002,10.4964
9,100.2,10,99.0308,10.0108
9.02,100.4,10,100.413,69.1012
9.04,100.6,10,100.592,8.97764
9.06,100.8,10,100.799,10.3563
9.08,101,10,100.998,9.93092
9.1,101.2,10,101.197,9.97119
9.12,101.4,10,101.411,10.6814
9.14,101.6,10,101.599,9.39695
9.16,101.8,10,101.789,9.49877
9.18,102,10,102.011,11.1061
9.2,102.2,10,102.216,10.2652
9.22,102.4,10,102.394,8.86221
9.24,102.6,10,102.626,11.6152
9.26,102.8,10,102.815,9.45949
9.28,103,10,103.001,9.31013
9.3,103.2,10,103.214,10.6408
9.32,103.4,10,103.399,9.22948
9.34,103.6,10,103.602,10.1566
9.36,103.8,10,103.786,9.22347
9.38,104,10,103.982,9.78684
9.4,104.2,10,104.202,10.9856
9.42,104.4,10,104.417,10.7323
9.44,104.6,10,104.606,9.48037
9.46,104.8,10,104.784,8.91605
9.48,105,10,105.005,11.0284
9.5,105.2,10,105.214,10.4431
9.52,105.4,10,105.385,8.55677
9.54,105.6,10,105.598,10.6504
9.56,105.8,10,105.8,10.1134
9.58,106,10,106.006,10.2618
9.6,106.2,10,106.187,9.08222
9.62,106.4,10,106.404,10.8331
9.64,106.6,10,106.606,10.1204
9.66,106.8,10,106.81,10.1737
9.68,107,10,107.012,10.1021
9.7,107.2,10,107.209,9.87398
9.72,107.4,10,107.396,9.35418
9.74,107.6,10,107.63,11.6793
9.76,107.8,10,107.795,8.24206
9.78,108,10,108.009,10.6944
9.8,108.2,10,108.208,9.98381
9.82,108.4,10,108.392,9.19416
9.84,108.6,10,108.602,10.5062
9.86,108.8,10,108.798,9.7925
9.88,109,10,108.999,10.0667
9.9,109.2,10,109.186,9.31993
9.92,109.4,10,109.406,10.9849
9.94,109.6,10,109.607,10.0714
9.96,109.8,10,109.785,8.91088
9.98,110,10,110.001,10.7686
10,110.2,10,109.77,10.0009
10.02,110.4,10,110.392,31.0625
10.04,110.6,10,110.608,10.8322
10.06,110.8,10,110.798,9.48786
10.08,111,10,110.999,10.0523
10.1,111.2,10,111.213,10.707
10.12,111.4,10,111.394,9.0499
10.14,111.6,10,111.606,10.5755
10.16,111.8,10,111.791,9.28438
10.18,112,10,112.002,10.5452
10.2,112.2,10,112.188,9.25987
10.22,112.4,10,112.393,10.284
10.24,112.6,10,112.622,11.4365
10.26,112.8,10,112.815,9.67189
10.28,113,10,113,9.2231
10.3,113.2,10,113.19,9.53067
10.32,113.4,10,113.392,10.0899
10.34,113.6,10,113.597,10.2366
10.36,113.8,10,113.806,10.4361
10.38,114,10,113.991,9.27782
10.4,114.2,10,114.206,10.7347
10.42,114.4,10,114.396,9.48079
10.44,114.6,10,114.604,10.4189
10.46,114.8,10,114.803,9.93904
10.48,115,10,115.006,10.187
10.5,115.2,10,115.2,9.68705
10.52,115.4,10,115.395,9.73602
10.54,115.6,10,115.584,9.45568
10.56,115.8,10,115.78,9.78409
10.58,116,10,115.994,10.706
10.6,116.2,10,116.192,9.90212
10.62,116.4,10,116.384,9.6043
10.64,116.6,10,116.591,10.3305
10.66,116.8,10,116.795,10.2187
10.68,117,10,117.006,10.5719
10.7,117.2,10,117.198,9.5819
10.72,117.4,10,117.382,9.20515
10.74,117.6,10,117.605,11.1381
10.76,117.8,10,117.802,9.84514
10.78,118,10,117.988,9.2923
10.8,118.2,10,118.202,10.7198
10.82,118.4,10,118.395,9.64746
10.84,118.6,10,118.6,10.2548
10.86,118.8,10,118.805,10.2633
10.88,119,10,119.013,10.3823
10.9,119.2,10,119.197,9.22304
10.92,119.4,10,119.384,9.34647
10.94,119.6,10,119.603,10.9272
10.96,119.8,10,119.806,10.1725
10.98,120,10,120.014,10.3994
11,120.2,10,120.514,10.0133
11.02,120.4,10,120.382,-6.59435
11.04,120.6,10,120.59,10.3865
11.06,120.8,10,120.804,10.7381
11.08,121,10,120.994,9.46574
11.1,121.2,10,121.193,9.98892
11.12,121.4,10,121.392,9.93118
11.14,121.6,10,121.609,10.847
11.16,121.8,10,121.785,8.82122
11.18,122,10,122.007,11.086
11.2,122.2,10,122.199,9.59069
11.22,122.4,10,122.411,10.5818
11.24,122.6,10,122.608,9.86559
11.26,122.8,10,122.802,9.72211
11.28,123,10,123.007,10.2376
11.3,123.2,10,123.208,10.0328
11.32,123.4,10,123.4,9.63249
11.34,123.6,10,123.613,10.6173
11.36,123.8,10,123.807,9.73983
11.38,124,10,124.008,10.0343
11.4,124.2,10,124.187,8.93645
11.42,124.4,10,124.399,10.5934
11.44,124.6,10,124.618,10.9502
11.46,124.8,10,124.787,8.4665
11.48,125,10,125.011,11.1984
11.5,125.2,10,125.227,10.8181
11.52,125.4,10,125.403,8.80167
11.54,125.6,10,125.596,9.60855
11.56,125.8,10,125.799,10.1569
11.58,126,10,125.991,9.60568
11.6,126.2,10,126.198,10.3709
11.62,126.4,10,126.398,9.98875
11.64,126.6,10,126.615,10.8319
11.66,126.8,10,126.787,8.60939
11.68,127,10,126.998,10.5648
11.7,127.2,10,127.199,10.0393
11.72,127.4,10,127.394,9.74607
11.74,127.6,10,127.606,10.5975
11.76,127.8,10,127.793,9.34683
11.78,128,10,128.001,10.4042
11.8,128.2,10,128.196,9.74537
11.82,128.4,10,128.405,10.437
11.84,128.6,10,128.587,9.11423
11.86,128.8,10,128.791,10.2305
11.88,129,10,128.992,10.0037
11.9,129.2,10,129.185,9.67773
11.92,129.4,10,129.401,10.7748
11.94,129.6,10,129.606,10.2667
11.96,129.8,10,129.797,9.53858
11.98,130,10,130.018,11.0439
12,130.2,10,130.709,9.9999
12.02,130.4,10,130.379,-16.494
12.04,130.6,10,130.607,11.362
12.06,130.8,10,130.794,9.37012
12.08,131,10,131.006,10.578
12.1,131.2,10,131.198,9.60495
12.12,131.4,10,131.388,9.50228
12.14,131.6,10,131.617,11.4666
12.16,131.8,10,131.795,8.87989
12.18,132,10,131.998,10.1561
12.2,132.2,10,132.194,9.82208
12.22,132.4,10,132.398,10.2029
12.24,132.6,10,132.605,10.3243
12.26,132.8,10,132.792,9.36687
12.28,133,10,133.005,10.6223
12.3,133.2,10,133.215,10.5281
12.32,133.4,10,133.408,9.64916
12.34,133.6,10,133.599,9.56237
12.36,133.8,10,133.794,9.75192
12.38,134,10,133.998,10.1941
12.4,134.2,10,134.206,10.3982
12.42,134.4,10,134.389,9.15713
12.44,134.6,10,134.598,10.4227
12.46,134.8,10,134.78,9.09443
12.48,135,10,135,11.0277
12.5,135.2,10,135.201,10.0481
12.52,135.4,10,135.414,10.6533
12.54,135.6,10,135.593,8.9614
12.56,135.8,10,135.79,9.80834
12.58,136,10,136.004,10.7012
12.6,136.2,10,136.204,10.0155
12.62,136.4,10,136.402,9.89428
12.64,136.6,10,136.601,9.93329
12.66,136.8,10,136.803,10.132
12.68,137,10,137.008,10.236
12.7,137.2,10,137.211,10.1487
12.72,137.4,10,137.391,9.01255
12.74,137.6,10,137.611,11.0141
12.76,137.8,10,137.798,9.34831
12.78,138,10,138.002,10.1741
12.8,138.2,10,138.198,9.7869
12.82,138.4,10,138.411,10.6482
12.84,138.6,10,138.6,9.44819
12.86,138.8,10,138.795,9.7544
12.88,139,10,138.992,9.85667
12.9,139.2,10,139.21,10.9102
12.92,139.4,10,139.381,8.56892
12.94,139.6,10,139.611,11.4765
12.96,139.8,10,139.796,9.25468
12.98,140,10,139.99,9.68193
13,140.2,10,139.716,10.0056
13.02,140.4,10,140.399,34.1461
13.04,140.6,10,140.588,9.45821
13.06,140.8,10,140.792,10.1865
13.08,141,10,141.002,10.494
13.1,141.2,10,141.196,9.70821
13.12,141.4,10,141.402,10.3059
13.14,141.6,10,141.607,10.2718
13.16,141.8,10,141.795,9.37642
13.18,142,10,142.005,10.4937
13.2,142.2,10,142.191,9.28892
13.22,142.4,10,142.382,9.55514
13.24,142.6,10,142.598,10.8
13.26,142.8,10,142.791,9.64408
13.28,143,10,143.014,11.1478
13.3,143.2,10,143.206,9.63786
13.32,143.4,10,143.403,9.8287
13.34,143.6,10,143.624,11.0722
13.36,143.8,10,143.796,8.58296
13.38,144,10,143.984,9.39607
13.4,144.2,10,144.185,10.0821
13.42,144.4,10,144.393,10.3709
13.44,144.6,10,144.599,10.3158
13.46,144.8,10,144.803,10.1852
13.48,145,10,145.008,10.2352
13.5,145.2,10,145.196,9.43708
13.52,145.4,10,145.388,9.59666
13.54,145.6,10,145.599,10.5211
13.56,145.8,10,145.803,10.2095
13.58,146,10,146.011,10.4072
13.6,146.2,10,146.197,9.31808
13.62,146.4,10,146.411,10.6939
13.64,146.6,10,146.617,10.2795
13.66,146.8,10,146.804,9.33338
13.68,147,10,146.995,9.5838
13.7,147.2,10,147.192,9.84323
13.72,147.4,10,147.394,10.0775
13.74,147.6,10,147.596,10.0975
13.76,147.8,10,147.797,10.0889
13.78,148,10,147.998,10.0248
13.8,148.2,10,148.21,10.5963
13.82,148.4,10,148.385,8.77163
13.84,148.6,10,148.587,10.073
13.86,148.8,10,148.791,10.2322
13.88,149,10,149.009,10.869
13.9,149.2,10,149.185,8.82043
13.92,149.4,10,149.392,10.3629
13.94,149.6,10,149.6,10.3693
13.96,149.8,10,149.804,10.2333
13.98,150,10,149.995,9.50351
14,150.2,10,149.856,10.0144
14.02,150.4,10,150.39,26.6783
14.04,150.6,10,150.583,9.66639
14.06,150.8,10,150.793,10.4993
14.08,151,10,151.031,11.8799
14.1,151.2,10,151.209,8.9162
14.12,151.4,10,151.405,9.78015
14.14,151.6,10,151.61,10.2617
14.16,151.8,10,151.791,9.05041
14.18,152,10,152.016,11.2363
14.2,152.2,10,152.173,7.84095
14.22,152.4,10,152.41,11.8637
14.24,152.6,10,152.615,10.244
14.26,152.8,10,152.793,8.93392
14.28,153,10,152.989,9.77087
14.3,153.2,10,153.176,9.37769
14.32,153.4,10,153.399,11.1163
14.34,153.6,10,153.591,9.60192
14.36,153.8,10,153.813,11.1335
14.38,154,10,153.981,8.37463
14.4,154.2,10,154.209,11.4022
14.42,154.4,10,154.407,9.91495
14.44,154.6,10,154.601,9.69098
14.46,154.8,10,154.803,10.1031
14.48,155,10,154.986,9.13558
14.5,155.2,10,155.207,11.0626
