Time,Correct Angle,Correct Angle Rate,Predicted Angle,Predicted Angle Rate
10.2,1.95826,0.174533,1.94577,-0.565598
10.22,1.96175,0.174533,1.95494,0.458488
10.24,1.96524,0.174533,1.98716,1.61102
10.26,1.96873,0.174533,1.98409,-0.153578
10.28,1.97222,0.174533,1.97205,-0.602364
10.3,1.97571,0.174533,1.96615,-0.294796
10.32,1.9792,0.174533,1.97144,0.264441
10.34,1.98269,0.174533,1.97966,0.411116
10.36,1.98618,0.174533,1.99187,0.610596
10.38,1.98968,0.174533,1.98092,-0.547648
10.4,1.99317,0.174533,1.9991,0.909222
10.42,1.99666,0.174533,1.99221,-0.344678
10.44,2.00015,0.174533,2.00408,0.59346
10.46,2.00364,0.174533,2.00635,0.11357
10.48,2.00713,0.174533,2.01358,0.36158
10.5,2.01062,0.174533,2.01081,-0.138421
10.52,2.01411,0.174533,2.00903,-0.0894463
10.54,2.0176,0.174533,2.00163,-0.369788
10.56,2.02109,0.174533,2.0008,-0.0413806
10.58,2.02458,0.174533,2.01841,0.88057
10.6,2.02807,0.174533,2.01995,0.076653
10.62,2.03156,0.174533,2.01552,-0.221169
10.64,2.03505,0.174533,2.02562,0.505001
10.66,2.03854,0.174533,2.03349,0.393216
10.68,2.04204,0.174533,2.04841,0.746392
10.7,2.04553,0.174533,2.04354,-0.243572
10.72,2.04902,0.174533,2.03114,-0.620321
10.74,2.05251,0.174533,2.05739,1.31268
10.76,2.056,0.174533,2.05778,0.0196714
10.78,2.05949,0.174533,2.04712,-0.533169
10.8,2.06298,0.174533,2.06501,0.894283
10.82,2.06647,0.174533,2.06145,-0.178005
10.84,2.06996,0.174533,2.07003,0.429317
10.86,2.07345,0.174533,2.07879,0.437808
10.88,2.07694,0.174533,2.08992,0.556803
10.9,2.08043,0.174533,2.07788,-0.602432
10.92,2.08392,0.174533,2.0683,-0.478993
10.94,2.08741,0.174533,2.09033,1.10177
10.96,2.0909,0.174533,2.09727,0.347064
10.98,2.0944,0.174533,2.10875,0.573933
11,2.09789,0.174533,2.10468,-0.203362
11.02,2.10138,0.174533,2.08317,-1.07549
11.04,2.10487,0.174533,2.09439,0.561003
11.06,2.10836,0.174533,2.11265,0.912676
11.08,2.11185,0.174533,2.10545,-0.359727
11.1,2.11534,0.174533,2.10872,0.163456
11.12,2.11883,0.174533,2.11084,0.105711
11.14,2.12232,0.174533,2.13127,1.02151
11.16,2.12581,0.174533,2.11118,-1.00425
11.18,2.1293,0.174533,2.13639,1.26054
11.2,2.13279,0.174533,2.1317,-0.23478
11.22,2.13628,0.174533,2.14682,0.756334
11.24,2.13977,0.174533,2.14763,0.0401194
11.26,2.14326,0.174533,2.14556,-0.103354
11.28,2.14675,0.174533,2.1538,0.412125
11.3,2.15025,0.174533,2.15795,0.207374
